City,State,CostOfLiving
Sevierville,TN,103.5
Missoula,MT,103.4
Philadelphia,PA,103.4
Asheville,NC,103.3
Centralia,WA,103.3
Coeur d'Alene,ID,103.3
Salisbury,MD,103.2
Carson City,NV,103
Bakersfield,CA,102.9
Claremont,NH,102.3
El Centro,CA,102.3
Faribault,MN,102.3
Colorado Springs,CO,102.2
Morehead City,NC,102.2
Charlottesville,VA,102.1
Keene,NH,102.1
Atlantic City,NJ,102
Coos Bay,OR,102
Panama City,FL,101.9
Show Low,AZ,101.9
Charleston,SC,101.7
Ithaca,NY,101.7
Longview,WA,101.6
Fort Myers,FL,101.5
Orlando,FL,101.4
Tampa,FL,101.4
Dover,DE,101.3
Port St. Lucie,FL,101.1
Provo,UT,100.9
Walla Walla,WA,100.9
Roseburg,OR,100.8
Las Vegas,NV,100.7
The Villages,FL,100.7
Spokane,WA,100.4
Atlanta,GA,100.3
Boise City,ID,100.3
Punta Gorda,FL,100.3
Albany,NY,100.1
Chicago,IL,100.1
Nashville,TN,100.1
Augusta,ME,100
Durham,NC,99.8
Ogden,UT,99.8
State College,PA,99.8
Kennewick,WA,99.7
Lewiston,ME,99.7
Raleigh,NC,99.7
Hagerstown,MD,99.7
Traverse City,MI,99.6
Daytona Beach,FL,99.6
Lancaster,PA,99.5
Madison,WI,99.5
Ann Arbor,MI,99.3
Melbourne,FL,99.3
Richmond,VA,99.2
Jacksonville,FL,99
Virginia Beach,VA,99
Wilmington,NC,99
Allentown,PA,98.9
Vero Beach,FL,98.9
Glens Falls,NY,98.6
Dallas,TX,98.5
Lake Havasu City,AZ,98.4
Gettysburg,PA,98.2
Grand Junction,CO,98.1
Bangor,ME,98
St. George,UT,98
Brainerd,MN,97.9
Charlotte,NC,97.9
Pensacola,FL,97.9
Hermiston,OR,97.9
Midland,TX,97.8
Vineland,NJ,97.8
Tucson,AZ,97.7
Whitewater,WI,97.7
Aberdeen,WA,97.6
Yakima,WA,97.5
Jefferson,GA,97.4
Buffalo,NY,97.3
Gainesville,FL,97.3
Rochester,MN,97.3
Savannah,GA,97.3
Winchester,VA,97.2
Klamath Falls,OR,97.1
Watertown,WI,97.1
Gainesville,GA,97
Cheyenne,WY,96.9
Rochester,NY,96.6
Daphne,AL,96.6
Lakeland,FL,96.4
Tallahassee,FL,96.4
Watertown,NY,96.4
Holland,MI,96.2
East Stroudsburg,PA,96.1
Reading,PA,96
Harrisburg,PA,95.8
Houston,TX,95.8
York,PA,95.8
Billings,MT,95.7
Chambersburg,PA,95.7
Moses Lake,WA,95.7
Harrisonburg,VA,95.5
Homosassa Springs,FL,95.5
Wooster,OH,95.5
Lebanon,PA,95.4
St. Cloud,MN,95.4
Mankato,MN,95.3
Logan,UT,95.2
Syracuse,NY,95.1
Athens,GA,95
Greenville,SC,95
Lincoln,NE,94.7
Myrtle Beach,SC,94.7
Blacksburg,VA,94.5
Ocala,FL,94.5
Staunton,VA,94.5
Yuma,AZ,94.5
Brunswick,GA,94.4
Casper,WY,94.2
Rapid City,SD,94.2
Roanoke,VA,94.1
Utica,NY,94.1
Seneca,SC,94
Columbus,OH,93.9
Milwaukee,WI,93.8
Auburn,NY,93.7
Grand Rapids,MI,93.7
Plattsburgh,NY,93.7
Lake City,FL,93.6
Lynchburg,VA,93.6
Iowa City,IA,93.5
Williamsport,PA,93.4
Binghamton,NY,93.3
Corpus Christi,TX,93.3
Bloomsburg,PA,93.2
Detroit,MI,93.2
Duluth,MN,93.2
Palatka,FL,93.2
Sierra Vista,AZ,93.2
Bismarck,ND,93.1
Pittsburgh,PA,93.1
Sebring,FL,93.1
Albuquerque,NM,92.9
Athens,TX,92.9
Beaver Dam,WI,92.9
Omaha,NE,92.9
Sioux Falls,SD,92.8
Tyler,TX,92.8
Odessa,TX,92.7
San Antonio,TX,92.7
Elmira,NY,92.5
Lewiston,ID,92.5
Bloomington,IN,92.4
Cincinnati,OH,92.4
New Orleans,LA,92.4
College Station,TX,92.3
Warsaw,IN,92.3
Pueblo,CO,92.2
Auburn,AL,91.9
Columbia,SC,91.9
Burlington,NC,91.8
Eau Claire,WI,91.8
Erie,PA,91.8
La Crosse,WI,91.8
Des Moines,IA,91.7
Idaho Falls,ID,91.7
Jacksonville,NC,91.7
Augusta,GA,91.6
Kansas City,MO,91.6
Knoxville,TN,91.6
Lawrence,KS,91.6
Louisville/Jefferson County,KY,91.6
Ames,IA,91.5
Stevens Point,WI,91.5
Dunn,NC,91.4
Fargo,ND,91.4
Green Bay,WI,91.4
Huntsville,AL,91.3
Jamestown,NY,91.3
Marquette,MI,91.3
Scranton,PA,91.3
Sherman,TX,91.3
Chattanooga,TN,91.2
Huntsville,TX,91.2
Twin Falls,ID,91.2
Winston-Salem,NC,91.2
Baton Rouge,LA,91.1
Elizabeth City,NC,91.1
Findlay,OH,91.1
Great Falls,MT,91.1
Lexington,KY,91.1
Statesboro,GA,91.1
Greensboro,NC,91
Kankakee,IL,91
Spartanburg,SC,91
Tuscaloosa,AL,91
Albertville,AL,90.9
Cookeville,TN,90.9
Corning,NY,90.9
Cumberland,MD,90.9
Racine,WI,90.9
Altoona,PA,90.8
Hinesville,GA,90.8
Indiana,PA,90.8
Pocatello,ID,90.8
Richmond,KY,90.8
Sandusky,OH,90.8
Appleton,WI,90.7
Birmingham,AL,90.7
Grand Forks,ND,90.7
Minot,ND,90.7
San Angelo,TX,90.7
Adrian,MI,90.5
Cullman,AL,90.5
Monroe,MI,90.5
North Wilkesboro,NC,90.5
Warner Robins,GA,90.5
Fayetteville,AR,90.4
Indianapolis,IN,90.2
New Bern,NC,90.2
Laredo,TX,90.1
Cleveland,OH,90
Gallup,NM,90
Houma,LA,89.9
Marshall,TX,89.9
Chillicothe,OH,89.8
Columbia,MO,89.8
Greenville,NC,89.8
Hickory,NC,89.8
Janesville,WI,89.8
Niles,MI,89.7
Sheboygan,WI,89.7
Dubuque,IA,89.6
Lafayette,LA,89.6
Manhattan,KS,89.6
Nacogdoches,TX,89.6
Rome,GA,89.6
St. Louis,MO,89.6
Branson,MO,89.5
Cleveland,TN,89.5
Fayetteville,NC,89.5
Waco,TX,89.5
Victoria,TX,89.5
Akron,OH,89.4
Forest City,NC,89.4
Lake Charles,LA,89.4
Kalamazoo,MI,89.3
Somerset,PA,89.3
Valdosta,GA,89.2
Abilene,TX,89.1
Columbus,IN,89.1
Dalton,GA,89.1
Champaign,IL,89
Hammond,LA,89
Mount Airy,NC,89
Olean,NY,89
Oshkosh,WI,89
Bloomington,IL,89
New Philadelphia,OH,88.9
Wausau,WI,88.9
Grand Island,NE,88.8
Las Cruces,NM,88.8
Lubbock,TX,88.8
Clarksville,TN,88.7
Greenwood,SC,88.7
Lansing,MI,88.7
Tullahoma,TN,88.7
Lafayette,IN,88.7
Beaumont,TX,88.6
Decatur,AL,88.6
El Paso,TX,88.6
Killeen,TX,88.6
Sunbury,PA,88.6
Athens,OH,88.5
Columbus,GA,88.5
Elkhart,IN,88.5
Goldsboro,NC,88.5
Longview,TX,88.5
Meadville,PA,88.5
Montgomery,AL,88.5
Morgantown,WV,88.5
Dayton,OH,88.4
Farmington,NM,88.4
Mobile,AL,88.3
Ogdensburg,NY,88.3
Rocky Mount,NC,88.3
Amarillo,TX,88.2
Canton,OH,88.2
DuBois,PA,88.2
Lufkin,TX,88.2
Memphis,TN,88.2
Cape Girardeau,MO,88.1
Cedar Rapids,IA,88.1
Elizabethtown,KY,88.1
Frankfort,KY,88.1
Johnson City,TN,88.1
New Castle,PA,88.1
Shelby,NC,88.1
Sumter,SC,88.1
Fond du Lac,WI,88
Little Rock,AR,88
Brownsville,TX,87.8
Jackson,MS,87.8
Manitowoc,WI,87.8
Michigan City,IN,87.8
Florence,SC,87.7
Hobbs,NM,87.7
Muskegon,MI,87.7
Johnstown,PA,87.6
Waterloo,IA,87.6
Zanesville,OH,87.6
Springfield,IL,87.5
Springfield,OH,87.5
Toledo,OH,87.5
Ashtabula,OH,87.4
Jackson,MI,87.4
Talladega,AL,87.4
Albany,GA,87.3
Hot Springs,AR,87.3
Morristown,TN,87.3
Oklahoma City,OK,87.3
Quincy,IL,87.3
Evansville,IN,87.2
Lima,OH,87.2
Macon,GA,87.2
Rockford,IL,87.2
South Bend,IN,87.2
Tupelo,MS,87.2
Davenport,IA,87.2
Danville,VA,87.1
Sioux City,IA,87.1
Bowling Green,KY,87
Midland,MI,87
Pottsville,PA,87
Wisconsin Rapids,WI,86.9
Florence,AL,86.8
Fort Wayne,IN,86.8
Gulfport,MS,86.8
Mount Pleasant,MI,86.8
Wichita,KS,86.8
Peoria,IL,86.7
Springfield,MO,86.7
Tulsa,OK,86.7
Marinette,WI,86.6
Ottawa,IL,86.6
Owensboro,KY,86.6
Salem,OH,86.6
Greeneville,TN,86.5
Monroe,LA,86.5
Youngstown,OH,86.4
Dothan,AL,86.3
Jefferson City,MO,86.3
Roswell,NM,86.3
Stillwater,OK,86.3
Texarkana,TX,86.3
Wilson,NC,86.3
Alexandria,LA,86.2
Mansfield,OH,86.2
Hattiesburg,MS,86.1
Opelousas,LA,86.1
Gadsden,AL,86
Kingsport,TN,86
LaGrange,GA,86
McAllen,TX,86
Battle Creek,MI,85.9
Laurel,MS,85.9
Alamogordo,NM,85.8
Shreveport,LA,85.8
Anniston,AL,85.7
Flint,MI,85.7
Marion,OH,85.7
Paducah,KY,85.7
Wichita Falls,TX,85.7
Topeka,KS,85.6
Russellville,AR,85.5
St. Joseph,MO,85.5
Bay City,MI,85.4
Farmington,MO,85.4
Searcy,AR,85.4
Orangeburg,SC,85.3
Jackson,TN,85.2
Jonesboro,AR,85.2
Joplin,MO,85.2
Martinsville,VA,85
Decatur,IL,84.9
Kokomo,IN,84.9
Owosso,MI,84.8
Parkersburg,WV,84.7
Portsmouth,OH,84.7
Terre Haute,IN,84.7
London,KY,84.6
Huntington,WV,84.3
Fort Smith,AR,84.2
Richmond,IN,84.2
Wheeling,WV,84.1
Hutchinson,KS,84
Saginaw,MI,84
Charleston,WV,83.9
Danville,IL,83.9
Muncie,IN,83.7
Carbondale,IL,83.5
Clarksburg,WV,83.4
Lumberton,NC,83.4
Roanoke Rapids,NC,83.1
Enid,OK,82.9
Lawton,OK,82.8
Weirton,WV,82.6
Shawnee,OK,82.4
Pine Bluff,AR,82.3
Meridian,MS,82
Marion,IN,81.8
Muskogee,OK,81.3
Bluefield,WV,81.2
Beckley,WV,80
